Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,Bill 29,,10.823,9/25/1980,,,,,,3831,,,,
,,Bill 30,,14.992,12/26/1980,,,,,,4036,,,,
,,Bill 31,,11.718,10/2/1980,,4/2/1981,,4/2/1981,,4019,,,,4019
,,Bill 32,,11.14,10/9/1980,,4/9/1981,,4/9/1981,,3943,,,,3943
,,Bill 33,,11.28,10/16/1980,,4/16/1981,,4/16/1981,,3945,,,,3945
,,Bill 34,,10.44,4/29/1980,,4/23/1981,,4/23/1981,,4016,,10951,,
,,Bill 35,,11.408,10/23/1980,,,,,,3935,,,,
,,Bill 36,,15.251,12/3/1980,,,,,,3000,,,,
,,Bill 37,,12.285,10/30/1980,,4/30/1981,,4/30/1981,,3923,,,,7923
,,Bill 38,,14.776,12/31/1980,,,,,,4000,,,,
,,Bill 39,,13.268,11/6/1980,,5/7/1981,,5/7/1981,,4026,,,,4026
,,Bill 40,,13.231,11/13/1980,,5/14/1981,,5/14/1981,,4038,,,,4038
,,Bill 41,,8.431,5/27/1980,,5/21/1981,,5/21/1981,,4005,,,,8041
,,Bill 42,,13.917,11/20/1980,,,,,,4036,,,,
,,Bill 43,,14.03,11/28/1980,,5/28/1981,,5/28/1981,,4215,,,,4215
,,Bill 44,,14.554,12/4/1980,,6/4/1981,,6/4/1981,,4343,,,,4343
,,Bill 45,,15.069,12/11/1980,,6/11/1981,,6/11/1981,,4038,,,,4038
,,Bill 46,,7.491,6/24/1980,,6/18/1981,,6/18/1981,,4091,,,,8214
,,Bill 47,,15.423,12/18/1980,,,,,,4123,,,,
,,Bill 48,,14.032,12/26/1980,,6/25/1981,,6/25/1981,,4032,,,,
,,Bill 49,,7.669,7/22/1980,,7/16/1981,,7/16/1981,,4005,,,,4005
,,Bill 50,,8.963,8/19/1980,,8/13/1981,,8/13/1981,,4009,,,,4009
,,Bill 51,,9.967,9/16/1980,,9/10/1981,,9/10/1981,,4007,,,,4007
,,Bill 52,,11.136,10/14/1980,,10/8/1981,,10/8/1981,,4009,,,,4009
,,Bill 53,,12.219,11/6/1980,,11/5/1981,,11/5/1981,,3963,,,,3963
,,Bill 54,,13.261,12/4/1980,,12/3/1981,,12/3/1981,,4513,,,,4513
,,,,,,,,,,,,,,,
,Treasury Notes (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Note 1,,7,2/5/1974,,2/15/1981,,2/15-8/15,,1842,,,,1842
,,Note 2,,7.75,11/15/1974,,11/15/1981,,5/15-11/15,,4477,,,,4477
,,Note 3,,7.375,2/18/1975,,2/15/1981,,2/15-8/15,,4796,,,,4796
,,Note 4,,7.375,1/26/1976,,5/15/1981,,5/15-11/15,,2020,,,,2020
,,Note 5,,7.625,7/9/1976,,8/15/1981,,2/15-8/15,,2586,,,,2586
,,Note 6,,7,10/12/1976,,11/15/1981,,5/15-11/15,,2543,,,,2543
,,Note 7,,6.875,3/8/1977,,3/31/1981,,3/31-9/30,,2809,,,,2809
,,Note 8,,6.75,6/3/1977,,6/30/1981,,6/30-12/31,,2514,,,,2514
,,Note 9,,6.75,9/7/1977,,9/30/1981,,3/31-9/30,,2968,,,,2968
,,Note 10,,7.25,12/7/1977,,12/31/1981,,6/30-12/31,,3452,,,,3452
,,Note 11,,7.5,2/15/1978,,5/15/1981,,5/15-11/15,,3893,,,,3893
,,Note 12,,8.375,8/15/1978,,8/15/1981,,2/15-8/15,,4110,,,,4110
,,Note 13,,9.75,1/31/1979,,1/31/1981,,1/31-7/31,,3146,,,,3146
,,Note 14,,9.75,2/28/1979,,2/28/1981,,2/28-8/31,,2887,,,,2887
,,Note 15,,9.625,4/9/1979,,3/31/1981,,3/31-9/30,,3516,,,,3516
,,Note 16,,9.75,4/30/1979,,4/30/1981,,4/30-10/31,,3013,,,,3013
,,Note 17,,9.75,5/31/1979,,5/31/1981,,3/31-9/30,,2542,,,,2542
,,Note 18,,9.125,7/2/1979,,6/30/1981,,6/30-12/31,,3057,,,,3057
,,Note 19,,9.375,7/31/1979,,7/31/1981,,1/31-7/31,,3222,,,,3222
,,Note 20,,9.625,8/31/1979,,8/31/1981,,2/28-8/31,,3729,,,,3729
,,Note 21,,10.125,10/9/1979,,9/30/1981,,3/31-9/30,,3695,,,,3695
,,Note 22,,12.625,10/31/1979,,10/31/1981,,4/30-10/31,,4457,,,,4457
,,Note 23,,12.125,11/30/1979,,11/30/1981,,5/31-11/30,,4894,,,,4894
,,Note 24,,11.375,12/31/1979,,12/31/1981,,6/30-12/31,,4307,,,,4307
,,Note 25,,8,5/15/1975,,5/15/1982,,5/15-11/15,,2747,,,,2747
,,Note 26,,8.125,8/15/1975,,8/15/1982,,2/15-8/15,,2918,,,,2918
,,Note 27,,7.875,11/17/1975,,11/15/1982,,5/15-11/15,,2902,,,,2902
,,Note 28,,6.125,1/6/1977,,2/15/1982,,2/15-8/15,,2697,,,,2697
,,Note 29,,7,4/4/1977,,5/15/1982,,5/15-11/15,,2613,,,,2613
,,Note 30,,7.125,10/17/1977,,11/15/1982,,5/15-11/15,,2737,,,,2737
,,Note 31,,7.875,3/6/1978,,3/31/1982,,3/31-9/30,,2853,,,,2853
,,Note 32,,8.25,6/7/1978,,6/30/1982,,6/30-12/31,,2594,,,,2594
,,Note 33,,8.375,9/6/1978,,9/30/1982,,3/31-9/30,,2501,,,,2501
,,Note 34,,9.25,11/15/1978,,5/15/1982,,5/15-11/15,,3556,,,,3556
,,Note 35,,9.375,1/2/1979,,12/31/1982,,6/30-12/31,,3205,,,,3205
,,Note 36,,9,8/15/1979,,8/15/1982,,2/15-8/15,,3587,,,,3587
,,Note 37,,11.5,1/31/1980,,1/31/1982,,1/31-7/31,,4485,,,,4485
,,Note 38,,13.875,2/29/1980,,2/28/1982,,2/28-8/31,,4498,,,,4498
,,Note 39,,15,3/31/1980,,3/31/1982,,3/31-9/30,,4072,,,,4072
,,Note 40,,11.375,4/30/1980,,4/30/1982,,4/30-10/31,,4573,,,,4573
,,Note 41,,9.375,6/4/1980,,5/31/1982,,5/31-11/30,,4284,,,,4284
,,Note 42,,8.625,6/3/1980,,6/30/1982,,6/30-12/31,,5215,,,,5215
,,Note 43,,8.875,7/31/1980,,7/31/1982,,1/31-7/31,,5337,,,,5337
,,Note 44,,11.125,9/2/1980,,8/31/1982,,2/28-8/31,,5127,,,,5127
,,Note 45,,11.875,9/30/1980,,9/30/1982,,3/31-9/30,,5120,,,,5120
,,Note 46,,12.125,10/31/1980,,10/31/1982,,4/30-10/31,,4823,,,,4823
,,Note 47,,13.875,12/1/1980,,11/30/1982,,5/31-11/30,,4960,,,,4960
,,Note 48,,15.125,12/31/1980,,12/31/1982,,6/30-12/31,,4996,,,,4996
,,Note 49,,8,2/17/1976,,2/15/1983,,2/15-8/15,,7958,,,,7958
,,Note 50,,7,11/15/1976,,11/15/1983,,5/15-11/15,,2309,,,,2309
,,Note 51,,7.875,4/5/1978,,5/15/1983,,5/15-11/15,,2573,,,,2573
,,Note 52,,9.25,3/5/1979,,3/31/1983,,3/31-9/30,,2930,,,,2930
,,Note 53,,8.875,7/2/1979,,6/30/1983,,6/30-12/31,,3123,,,,3123
,,Note 54,,9.75,10/10/1979,,9/30/1983,,3/31-9/30,,2802,,,,2802
,,Note 55,,11.625,11/15/1979,,5/15/1983,,5/15-11/15,,3618,,,,3618
,,Note 56,,10.5,12/31/1979,,12/31/1983,,6/30-12/31,,2701,,,,2701
,,Note 57,,11.875,2/15/1980,,8/15/1983,,2/15-8/15,,4285,,,,4285
,,Note 58,,9.25,5/15/1980,,8/15/1983,,2/15-8/15,,6670,,,,6670
,,Note 59,,9.875,8/15/1980,,11/15/1983,,5/15-11/15,,5832,,,,5832
,,Note 60,,7.25,2/15/1977,,2/15/1984,,2/15-8/15,,8438,,,,8438
,,Note 61,,7.25,8/15/1977,,8/15/1984,,2/15-8/15,,2863,,,,2863
,,Note 62,,9.25,9/5/1979,,5/15/1984,,5/15-11/15,,2587,,,,2587
,,Note 63,,14.25,3/31/1980,,3/31/1984,,3/31-9/30,,2914,,,,2914
,,Note 64,,8.875,6/30/1980,,6/30/1984,,6/30-12/31,,3726,,,,3726
,,Note 65,,12.125,9/30/1980,,9/30/1984,,3/31-9/30,,3369,,,,3369
,,Note 66,,13.25,11/17/1980,,5/15/1984,,5/15-11/15,,4315,,,,4315
,,Note 67,,14,12/31/1980,,12/31/1984,,6/30-12/31,,3608,,,,3608
,,Note 68,,8,2/15/1978,,2/15/1985,,2/15-8/15,,4203,,,,4203
,,Note 69,,8.25,8/15/1978,,8/15/1985,,2/15-8/15,,4837,,,,4837
,,Note 70,,10.375,12/4/1979,,5/15/1985,,5/15-11/15,,2539,,,,2539
,,Note 71,,14.375,3/3/1980,,5/15/1985,,5/15-11/15,,2719,,,,2719
,,Note 72,,9.625,6/5/1990,,8/15/1985,,2/15-8/15,,3293,,,,3293
,,Note 73,,11.75,9/3/1980,,11/15/1985,,5/15-11/15,,3087,,,,3087
,,Note 74,,7.875,5/17/1976,,5/15/1986,,5/15-11/15,,5219,,,,5219
,,Note 75,,8,8/16/1976,,8/15/1986,,2/15-8/15,,9515,,,,9515
,,Note 76,,13.5,12/8/1980,,2/15/1986,,2/15-8/15,,3158,,,,3158
,,Note 77,,7.625,11/15/1977,,11/15/1987,,5/15-11/15,,2387,,,,2387
,,Note 78,,9,2/15/1979,,2/15/1987,,2/15-8/15,,6238,,,,6238
,,Note 79,,12,2/15/1980,,5/15/1987,,5/15-11/15,,2472,,,,2472
,,Note 80,,8.25,5/15/1978,,5/15/1988,,5/15-11/15,,4148,,,,4148
,,Note 81,,8.75,11/15/1978,,11/15/1988,,5/15-11/15,,3445,,,,3445
,,Note 82,,9.25,5/15/1979,,5/15/1989,,5/15-11/15,,2628,,,,2628
,,Note 83,,10.75,11/15/1979,,11/15/1989,,5/15-11/15,,5779,,,,5779
,,Note 84,,10.75,8/15/1980,,8/15/1990,,2/15-8/15,,3762,,,,3762
,,Note 85,,13,11/17/1980,,11/15/1990,,5/15-11/15,,2663,,,,2663
,,Note 86,,1.5,4/1/1976,,4/1/1981,,4/1-10/1,,***,,,,
,,Note 87,,1.5,10/1/1976,,10/1/1981,,4/1-10/1,,14,,,,14
,,Note 88,,1.5,4/1/1977,,4/1/1982,,4/1-10/1,,***,,,,
,,Note 89,,1.5,10/1/1977,,10/1/1982,,4/1-10/1,,1,,,,1
,,Note 90,,1.5,4/1/1978,,4/1/1983,,4/1-10/1,,***,,,,
,,Note 91,,1.5,10/1/1978,,10/1/1983,,4/1-10/1,,1,,,,1
,,Note 92,,1.5,4/1/1979,,4/1/1984,,4/1-10/1,,***,,,,
,,,,,,,,,,,,,,,
,Treasury Bonds (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bond 1,,4.25,4/5/1960,5/15/1981,5/15/1981,,5/15/-11/15,,1218,255,,,963
,,Bond 2,,3.25,5/1/1953,6/15/1981,6/15/1983,,6/15-12/15,,1606,423,,,1183
,,Bond 3,,7,8/15/1971,,8/15/1981,,2/15/-8/15,,807,***,,,807
,,Bond 4,,6.375,2/15/1972,,2/15/1982,,2/15/-8/15,,2702,,,,2702
,,Bond 5,,6.375,8/15/1972,,8/15/1984,,2/15/-8/15,,2353,150,,,2203
,,Bond 6,,3.125,6/3/1958,,5/15/1985,,5/15/-11/15,,1135,494,,,641
,,Bond 7,,6.125,11/15/1971,,11/15/1986,,5/15/-11/15,,1216,20,,,1196
,,Bond 8,,4.25,8/15/1962,8/15/1987,8/15/1992,,2/15/-8/15,,3818,1396,,,2422
,,Bond 9,,4,1/17/1963,2/15/1988,2/15/1993,,2/15/-8/15,,250,107,,,143
,,Bond 10,,7.5,8/15/1973,8/15/1988,8/15/1993,,2/15/-8/15,,1914,,,,1914
,,Bond 11,,4.125,4/18/1963,5/15/1989,5/15/1994,,5/15/-11/15,,1560,659,,,902
,,Bond 12,,3.5,2/14/1958,,2/15/1990,,2/15/-8/15,,4917,2765,,,2152
,,Bond 13,,8.25,4/7/1975,,5/15/1990,,5/15/-11/15,,1247,,,,1247
,,Bond 14,,7.25,7/8/1977,,8/15/1992,,2/15/-8/15,,1504,,,,1504
,,Bond 15,,6.75,1/10/1973,,2/15/1993,,2/15/-8/15,,627,***,,,627
,,Bond 16,,7.875,1/6/1978,,2/15/1993,,2/15/-8/15,,1501,,,,1501
,,Bond 17,,7,5/15/1973,5/15/1993,5/15/1998,,5/15/-11/15,,692,***,,,692
,,Bond 18,,8.625,7/11/1978,,8/15/1993,,2/15/-8/15,,1768,,,,1768
,,Bond 19,,8.625,10/10/1978,,11/15/1993,,5/15/-11/15,,1509,,,,1509
,,Bond 20,,9,1/11/1979,,2/15/1994,,2/15/-8/15,,3010,,,,3010
,,Bond 21,,8.5,5/15/1974,5/15/1994,5/15/1999,,5/15/-11/15,,2414,,,,2414
,,Bond 22,,8.75,7/9/1979,,8/15/1994,,2/15/-8/15,,1506,,,,1506
,,Bond 23,,10.125,10/18/1979,,11/15/1994,,5/15/-11/15,,1502,,,,1502
,,Bond 24,,3,2/15/1955,,2/15/1995,,2/15/-8/15,,2745,2322,,,423
,,Bond 25,,10.5,1/10/1980,,2/15/1995,,2/15/-8/15,,1502,,,,1502
,,Bond 26,,7.875,2/18/1975,2/15/1995,2/15/2000,,2/15/-8/15,,2771,,,,2771
,,Bond 27,,10.375,7/9/1980,,5/15/1995,,5/15/-11/15,,1504,,,,1504
,,Bond 28,,12.625,4/8/1980,,5/15/1995,,5/15/-11/15,,1503,,,,1503
,,Bond 29,,8.375,8/15/1975,8/15/1995,8/15/2000,,2/15/-8/15,,4662,,,,4662
,,Bond 30,,11.5,10/14/1980,,11/15/1995,,5/15/-11/15,,1482,,,,1482
,,Bond 31,,8,8/16/1976,8/15/1996,8/15/2001,,2/15/-8/15,,1575,,,,1575
,,Bond 32,,3.5,10/3/1960,,11/15/1998,,5/15/-11/15,,4463,2871,,,1592
,,Bond 33,,8.25,5/15/1975,5/15/2000,5/15/2005,,5/15/-11/15,,4264,,,,4264
,,Bond 34,,7.625,2/15/1977,2/15/2002,2/15/2007,,2/15/-8/15,,4249,,,,4249
,,Bond 35,,7.875,11/15/1977,11/15/2002,11/15/2007,,5/15/-11/15,,1495,,,,1495
,,Bond 36,,8.375,8/15/1978,8/15/2003,8/15/2008,,2/15/-8/15,,2103,,,,2103
,,Bond 37,,8.75,11/15/1978,11/15/2003,11/15/2008,,5/15/-11/15,,5230,,,,5230
,,Bond 38,,9.125,5/15/1979,5/15/2004,5/15/2009,,5/15/-11/15,,4606,,,,4606
,,Bond 39,,10.375,11/15/1979,11/15/2004,11/15/2009,,5/15/-11/15,,4201,,,,4201
,,Bond 40,,11.75,2/15/1980,2/15/2005,2/15/2010,,2/15/-8/15,,2647,,,,2647
,,Bond 41,,10,5/15/1980,5/15/2005,5/15/2010,,5/15/-11/15,,2987,,,,2987
,,Bond 42,,12.75,11/18/1980,11/15/2005,11/15/2010,,5/15/-11/15,,2160,,,,2160
,,,,,,,,,,,,,,,
,Tips:,,,,7  d,,,,,,,,,,
,CUSIP:,,Series:,Interest Rate:,,,,,,,,,,,
,,None,,1,,1/1/1950,1/31/1981,,,1,,,,,1
,,,,,,,,,,,,,,,
