Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,Bill 29,,7.05,,9/26/1985,3/27/1986,,3/27/1986,,4534,,,,15160
,,Bill 30,,7.25,,11/5/1985,,,,,3005,,,,
,,Bill 31,,7.02,,12/26/1985,,,,,7621,,,,
,,Bill 32,,7.64,,10/3/1985,4/3/1986,,4/3/1986,,6860,,,,6860
,,Bill 33,,7.32,,10/10/1985,4/10/1986,,4/10/1986,,7035,,,,7035
,,Bill 34,,8.44,,4/18/1985,4/17/1986,,4/17/1986,,8362,,,,15400
,,Bill 35,,7.36,,10/17/1985,,,,,7038,,,,
,,Bill 36,,7.32,,10/24/1985,4/24/1986,,4/24/1986,,6969,,,,6969
,,Bill 37,,7.37,,10/31/1985,5/1/1986,,5/1/1986,,7167,,,,7167
,,Bill 38,,7.3,,11/7/1985,5/8/1986,,5/8/1986,,7239,,,,7239
,,Bill 39,,7.94,,5/16/1985,5/15/1986,,5/15/1986,,8550,,,,15290
,,Bill 40,,7.23,,11/14/1985,,,,,6740,,,,
,,Bill 41,,7.26,,11/21/1985,5/22/1986,,5/22/1986,,7466,,,,7466
,,Bill 42,,7.26,,11/29/1985,5/29/1986,,5/29/1986,,7433,,,,7433
,,Bill 43,,7.26,,12/5/1985,5/5/1986,,5/5/1986,,7619,,,,7619
,,Bill 44,,7.18,,6/13/1985,6/12/1986,,6/12/1986,,8533,,,,16161
,,Bill 45,,7.02,,12/12/1985,,,,,7628,,,,
,,Bill 46,,7.01,,12/19/1985,6/19/1986,,6/19/1986,,7623,,,,7623
,,Bill 47,,7.05,,12/26/1985,6/26/1986,,6/26/1986,,7629,,,,7629
,,Bill 48,,7.09,,7/11/1985,7/10/1986,,7/10/1986,,8514,,,,8514
,,Bill 49,,7.6,,8/8/1985,8/7/1986,,8/7/1986,,8778,,,,8778
,,Bill 50,,7.36,,9/5/1985,9/4/1986,,9/4/1986,,8806,,,,8806
,,Bill 51,,7.33,,10/3/1985,10/2/1986,,10/2/1986,,8421,,,,8421
,,Bill 52,,7.51,,10/31/1985,10/30/1986,,10/30/1986,,8316,,,,8316
,,Bill 53,,7.33,,11/29/1985,11/28/1986,,11/28/1986,,9064,,,,9064
,,Bill 54,,7.06,,12/26/1985,12/26/1986,,12/26/1986,,9281,,,,9281
,,,,,,,,,,,,,,,
,Treasury Notes (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Rate:,,Issue Date:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Note 1,,7.875,,5/17/1976,5/15/1986,,5/15-11/15,,5219,,,,5219
,,Note 2,,8,,8/16/1976,8/15/1986,,2/15-8/15,,9515,,,,9515
,,Note 3,,13.5,,12/8/1980,2/15/1986,,2/15-8/15,,3188,,,,3188
,,Note 4,,13.75,,3/4/1981,5/15/1986,,5/15-11/15,,3460,,,,3460
,,Note 5,,13.875,,6/3/1981,11/15/1986,,5/15-11/15,,3206,,,,3206
,,Note 6,,16.125,,9/8/1981,11/15/1986,,5/15-11/15,,3469,,,,3469
,,Note 7,,14,,3/31/1982,3/31/1986,,3/31-9/30,,4215,,,,4215
,,Note 8,,14.875,,7/6/1982,6/30/1986,,6/30-12/31,,4758,,,,4758
,,Note 9,,12.25,,9/30/1982,9/30/1986,,3/31-9/30,,5813,,,,5813
,,Note 10,,10,,12/31/1982,12/31/1986,,6/30-12/31,,5908,,,,5908
,,Note 11,,9.875,,2/15/1983,2/15/1986,,2/15-8/15,,8116,,,,8116
,,Note 12,,9.375,,5/16/1983,5/15/1986,,5/15-11/15,,7330,,,,7330
,,Note 13,,11.375,,8/15/1983,8/15/1986,,2/15-8/15,,8862,,,,8862
,,Note 14,,11,,11/15/1983,11/15/1986,,5/15-11/15,,7650,,,,7650
,,Note 15,,10.625,,1/31/1984,1/31/1986,,1/31-7/31,,9228,,,,9228
,,Note 16,,10.875,,2/29/1984,2/28/1986,,2/28-8/31,,9141,,,,9141
,,Note 17,,11.5,,4/2/1984,3/31/1986,,3/31-9/30,,9337,,,,9337
,,Note 18,,11.75,,4/30/1984,4/30/1986,,4/30-10/31,,9208,,,,9208
,,Note 19,,12.625,,5/31/1984,5/31/1986,,5/31-11/30,,9192,,,,9192
,,Note 20,,13,,7/2/1984,6/30/1986,,6/30-12/31,,9933,,,,9933
,,Note 21,,12.625,,7/31/1984,7/31/1986,,1/31-7/31,,10231,,,,10231
,,Note 22,,12.375,,8/31/1984,8/31/1986,,2/28-8/31,,9859,,,,9859
,,Note 23,,11.875,,10/1/1984,9/30/1986,,3/31-9/30,,9612,,,,9612
,,Note 24,,11.625,,10/31/1984,10/31/1986,,4/30-10/31,,9802,,,,9802
,,Note 25,,10.375,,11/30/1984,11/30/1986,,5/31-11/30,,10052,,,,10052
,,Note 26,,9.875,,12/31/1984,12/31/1986,,6/30-12/31,,10112,,,,10112
,,Note 27,,7.625,,11/15/1977,11/15/1987,,5/15-11/15,,2387,,,,2387
,,Note 28,,9,,2/15/1979,2/15/1987,,2/15-8/15,,6238,,,,6238
,,Note 29,,12,,2/15/1980,5/15/1987,,5/15-11/15,,2472,,,,2472
,,Note 30,,12.75,,12/2/1981,2/15/1987,,2/15-8/15,,3437,,,,3437
,,Note 31,,14,,3/3/1982,5/15/1987,,5/15-11/15,,3519,,,,3519
,,Note 32,,13.75,,6/2/1982,8/15/1987,,2/15-8/15,,4078,,,,4078
,,Note 33,,12.625,,9/7/1982,11/15/1987,,5/15-11/15,,5384,,,,5384
,,Note 34,,10.25,,3/31/1983,3/31/1987,,3/31-9/30,,6522,,,,6522
,,Note 35,,10.5,,6/30/1983,6/30/1987,,6/30-12/31,,6435,,,,6435
,,Note 36,,11.125,,9/30/1983,9/30/1987,,3/31-9/30,,6539,,,,6539
,,Note 37,,11.25,,1/3/1984,12/31/1987,,6/30-12/31,,6580,,,,6580
,,Note 38,,10.875,,2/15/1984,2/15/1987,,2/15-8/15,,9166,,,,9166
,,Note 39,,12.5,,5/15/1984,5/15/1987,,5/15-11/15,,7831,,,,7831
,,Note 40,,12.375,,8/15/1984,8/15/1987,,2/15-8/15,,7717,,,,7717
,,Note 41,,11,,11/15/1984,11/15/1987,,5/15-11/15,,8187,,,,8187
,,Note 42,,9.75,,1/31/1985,1/31/1987,,1/31-7/31,,10212,,,,10212
,,Note 43,,10,,2/28/1985,2/28/1987,,2/28-8/31,,10087,,,,10087
,,Note 44,,10.75,,4/1/1985,3/31/1987,,3/31-9/30,,10349,,,,10349
,,Note 45,,9.75,,4/30/1985,4/30/1987,,4/30-10/31,,9992,,,,9992
,,Note 46,,9.125,,5/31/1985,5/31/1987,,5/31-11/30,,10446,,,,10446
,,Note 47,,8.5,,7/1/1985,6/30/1987,,6/30-12/31,,10674,,,,10674
,,Note 48,,8.875,,7/31/1985,7/31/1987,,1/31-7/31,,10166,,,,10166
,,Note 49,,8.875,,9/3/1985,8/31/1987,,2/28-8/31,,10450,,,,10450
,,Note 50,,9,,9/30/1985,9/30/1987,,3/31-9/30,,10095,,,,10095
,,Note 51,,8.875,,10/31/1985,10/31/1987,,4/30-10/31,,10298,,,,10298
,,Note 52,,8.5,,12/2/1985,11/30/1987,,5/31-11/30,,10699,,,,10699
,,Note 53,,7.875,,12/31/1985,12/31/1987,,6/30-12/31,,10522,,,,10522
,,Note 54,,8.25,,5/15/1978,5/15/1988,,5/15-11/15,,4148,,,,4148
,,Note 55,,8.75,,11/15/1978,11/15/1988,,5/15-11/15,,3445,,,,3445
,,Note 56,,12.375,,1/5/1981,1/15/1988,,1/15-7/15,,2710,,,,2710
,,Note 57,,13.25,,4/6/1981,4/15/1988,,4/15-10/15,,2972,,,,2972
,,Note 58,,14,,7/7/1981,7/15/1988,,1/15-7/15,,3469,,,,3469
,,Note 59,,15.375,,10/14/1981,10/15/1988,,4/15-10/15,,3474,,,,3474
,,Note 60,,10.125,,12/2/1982,2/15/1988,,2/15-8/15,,5040,,,,5040
,,Note 61,,9.875,,3/1/1983,5/15/1988,,5/15-11/15,,5955,,,,5955
,,Note 62,,10.5,,6/3/1983,8/15/1988,,2/15-8/15,,5783,,,,5783
,,Note 63,,11.75,,9/6/1983,11/15/1988,,5/15-11/15,,6028,,,,6028
,,Note 64,,12,,4/2/1984,3/31/1988,,3/31-9/30,,6837,,,,6837
,,Note 65,,13.625,,7/2/1984,6/30/1988,,6/30-12/31,,6723,,,,6723
,,Note 66,,11.375,,10/31/1984,9/30/1988,,3/31-9/30,,6574,-248,,,6822
,,Note 67,,11.375,,10/31/1984,9/30/1988,,30-Sep,,1001,248,,,753
,,Note 68,,10.625,,12/31/1984,12/31/1988,,6/30-12/31,,6808,,,,6808
,,Note 69,,10.375,,2/15/1985,2/15/1988,,2/15-8/15,,8489,,,,8489
,,Note 70,,10,,5/15/1985,5/15/1988,,5/15-11/15,,9987,,,,9987
,,Note 71,,9.5,,8/15/1985,8/15/1988,,2/15-8/15,,10928,,,,10928
,,Note 72,,8.625,,11/26/1985,11/15/1988,,5/15-11/15,,9179,,,,9179
,,Note 73,,9.25,,5/15/1979,5/15/1989,,5/15-11/15,,2628,,,,2628
,,Note 74,,10.75,,11/15/1979,11/15/1989,,5/15-11/15,,5779,,,,5779
,,Note 75,,14.625,,1/13/1982,1/15/1989,,1/15-7/15,,3508,,,,3508
,,Note 76,,14.375,,4/7/1982,4/15/1989,,4/15-10/15,,3348,,,,3348
,,Note 77,,14.5,,7/8/1982,7/15/1989,,1/15-7/15,,4723,,,,4723
,,Note 78,,11.875,,9/29/1982,10/15/1989,,4/15-10/15,,4237,,,,4237
,,Note 79,,11.375,,12/1/1983,2/15/1989,,2/15-8/15,,6244,,,,6244
,,Note 80,,11.75,,3/5/1984,5/15/1989,,5/15-11/15,,6068,,,,6068
,,Note 81,,13.875,,6/1/1984,8/15/1989,,2/15-8/15,,6283,,,,6283
,,Note 82,,12.75,,9/4/1984,11/15/1989,,5/15-11/15,,6552,,,,6552
,,Note 83,,11.25,,4/1/1985,3/31/1989,,3/31-9/30,,6986,,,,6986
,,Note 84,,9.625,,7/1/1985,6/30/1989,,6/30-12/31,,7486,,,,7486
,,Note 85,,9.375,,11/1/1985,9/30/1989,,3/31-9/30,,7302,,,,7302
,,Note 86,,8.375,,12/31/1985,12/31/1989,,6/30-12/31,,7490,,,,7490
,,Note 87,,10.75,,8/15/1980,8/15/1990,,2/15-8/15,,3762,,,,3762
,,Note 88,,13,,11/17/1980,11/15/1990,,5/15-11/15,,5701,,,,5701
,,Note 89,,10.5,,1/4/1983,1/15/1990,,1/15-7/15,,4842,,,,4842
,,Note 90,,10.5,,4/4/1983,4/15/1990,,4/15-10/15,,5054,,,,5054
,,Note 91,,10.75,,7/5/1983,7/15/1990,,1/15-7/15,,5013,,,,5013
,,Note 92,,11.5,,10/5/1983,10/15/1990,,4/15-10/15,,5044,,,,5044
,,Note 93,,11,,12/3/1984,2/15/1990,,2/15-8/15,,6947,-266,,,7213
,,Note 94,,11,,12/3/1984,2/15/1990,,15-Feb,,1000,266,,,734
,,Note 95,,11.375,,3/1/1985,5/15/1990,,5/15-11/15,,7029,,,,7029
,,Note 96,,9.875,,6/4/1985,8/15/1990,,2/15-8/15,,7196,-5,,,7201
,,Note 97,,9.875,,6/4/1985,8/15/1990,,15-Aug,,1000,5,,,995
,,Note 98,,9.625,,9/3/1985,11/15/1990,,5/15-11/15,,7843,,,,7843
,,Note 99,,14.5,,5/15/1981,5/15/1991,,5/15-11/15,,2047,,,,2047
,,Note 100,,14.875,,8/17/1981,8/15/1991,,2/15-8/15,,2812,,,,2812
,,Note 101,,14.25,,11/16/1981,11/15/1991,,5/15-11/15,,2886,,,,2886
,,Note 102,,11.75,,1/4/1984,1/15/1991,,1/15-7/15,,5512,,,,5512
,,Note 103,,12.375,,4/4/1984,4/15/1991,,4/15-10/15,,5377,,,,5377
,,Note 104,,13.75,,7/9/1984,7/15/1991,,1/15-7/15,,5461,,,,5461
,,Note 105,,12.25,,10/23/1984,10/15/1991,,4/15-10/15,,5745,,,,5745
,,Note 106,,9.125,,12/3/1985,2/15/1991,,2/15-8/15,,7687,,,,7687
,,Note 107,,14.625,,2/16/1982,2/15/1992,,2/15-8/15,,2813,,,,2813
,,Note 108,,13.75,,5/17/1982,5/15/1992,,5/15-11/15,,10798,,,,10798
,,Note 109,,10.5,,11/15/1982,11/15/1992,,5/15-11/15,,4331,,,,4331
,,Note 110,,11.625,,1/4/1985,1/15/1992,,1/15-7/15,,5759,,,,5759
,,Note 111,,11.75,,4/2/1985,4/15/1992,,4/15-10/15,,5868,,,,5868
,,Note 112,,10.375,,7/2/1985,7/15/1992,,1/15-7/15,,6299,,,,6299
,,Note 113,,9.75,,11/1/1985,10/15/1992,,4/15-10/15,,6287,,,,6287
,,Note 114,,10.875,,2/15/1983,2/15/1993,,2/15-8/15,,5162,,,,5162
,,Note 115,,10.125,,5/16/1983,5/15/1993,,5/15-11/15,,5100,,,,5100
,,Note 116,,11.875,,8/15/1983,8/15/1993,,2/15-8/15,,6593,,,,6593
,,Note 117,,11.75,,11/15/1983,11/15/1993,,5/15-11/15,,12478,,,,12478
,,Note 118,,13.125,,5/15/1984,5/15/1994,,5/15-11/15,,5669,,,,5669
,,Note 119,,12.625,,8/15/1984,8/15/1994,,2/15-8/15,,6300,,,,6300
,,Note 120,,11.625,,11/15/1984,11/15/1994,,5/15-11/15,,6659,,,,6659
,,Note 121,,11.25,,2/15/1985,2/15/1995,,2/15-8/15,,6934,,,,6934
,,Note 122,,11.25,,5/15/1985,5/15/1995,,5/15-11/15,,7127,,,,7127
,,Note 123,,10.5,,8/15/1985,8/15/1995,,2/15-8/15,,7956,,,,7956
,,Note 124,,9.5,,11/15/1985,11/15/1995,,5/15-11/15,,7318,,,,7318
,,,,,,,,,,,,,,,
,Treasury Bonds (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Rate:,,Issue Date:,Payable Date:,Redeemable:,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bond 1,,6.125,,11/15/1971,11/15/1986,,5/15-11/15,,1216,20,,,1196
,,Bond 2,,4.25,,8/15/1962,8/15/1992,8/15/1987,2/15-8/15,,3818,2181,,,1636
,,Bond 3,,4,,1/17/1963,2/15/1993,2/15/1988,2/15-8/15,,250,164,,,86
,,Bond 4,,4.5,,8/15/1973,8/15/1993,8/15/1988,2/15-8/15,,1914,100,,,1814
,,Bond 5,,4.125,,4/18/1963,5/15/1994,5/15/1989,5/15/-11/15,,1560,1023,,,537
,,Bond 6,,3.5,,2/14/1958,2/15/1990,,2/15-8/15,,4917,4154,,,763
,,Bond 7,,8.25,,4/7/1975,5/15/1990,,5/15-11/15,,1247,45,,,1203
,,Bond 8,,7.25,,7/8/1977,8/15/1992,,2/15-8/15,,1504,,,,1504
,,Bond 9,,6.75,,1/10/1973,2/15/1993,,2/15-8/15,,627,,,,627
,,Bond 10,,7.875,,1/6/1978,2/15/1993,,2/15-8/15,,1501,,,,1501
,,Bond 11,,7,,5/15/1973,5/15/1998,5/15/1993,5/15-11/15,,692,,,,692
,,Bond 12,,8.625,,7/11/1978,8/15/1993,,2/15-8/15,,1768,,,,1768
,,Bond 13,,8.625,,10/10/1978,11/15/1993,,5/15-11/15,,1509,,,,1509
,,Bond 14,,9,,1/11/1979,2/15/1994,,2/15-8/15,,3010,,,,3010
,,Bond 15,,8.5,,5/15/1974,5/15/1999,5/15/1994,5/15-11/15,,2414,37,,,2378
,,Bond 16,,8.75,,7/9/1979,8/15/1994,,2/15-8/15,,1506,,,,1506
,,Bond 17,,10.125,,10/18/1979,11/15/1994,,5/15-11/15,,1502,,,,1502
,,Bond 18,,3,,2/15/1955,2/15/1995,,2/15-8/15,,2745,2555,,,190
,,Bond 19,,10.5,,1/10/1980,2/15/1995,,2/15-8/15,,1502,,,,1502
,,Bond 20,,7.875,,2/18/1975,2/15/2000,2/15/1995,2/15-8/15,,2771,22,,,2749
,,Bond 21,,10.375,,7/9/1980,5/15/1995,,5/15-11/15,,1504,,,,1504
,,Bond 22,,12.625,,4/8/1980,5/15/1995,,5/15-11/15,,1503,,,,1503
,,Bond 23,,8.375,,8/15/1975,8/15/2000,8/15/1995,2/15-8/15,,4662,50,,,4612
,,Bond 24,,11.5,,10/14/1980,11/15/1995,,5/15-11/15,,1482,,,,1482
,,Bond 25,,8,,8/16/1976,8/15/2001,8/15/1996,2/15-8/15,,1575,91,,,1485
,,Bond 26,,3.5,,10/3/1960,11/15/1998,,5/15-11/15,,4463,3984,,,478
,,Bond 27,,8.25,,5/15/1975,5/15/2005,5/15/2000,5/15-11/15,,4246,22,,,4224
,,Bond 28,,11.75,,1/12/1981,2/15/2001,,2/15-8/15,,1501,,,,1501
,,Bond 29,,13.125,,4/2/1981,5/15/2001,,5/15-11/15,,1750,,,,1750
,,Bond 30,,13.375,,7/2/1981,8/15/2001,,2/15-8/15,,1753,,,,1753
,,Bond 31,,15.75,,10/7/1981,11/15/2001,,5/15-11/15,,1753,,,,1753
,,Bond 32,,14.25,,1/6/1982,2/15/2002,,2/15-8/15,,1759,,,,1759
,,Bond 33,,7.625,,2/15/1977,2/15/2007,2/15/2002,2/15-8/15,,4249,15,,,4234
,,Bond 34,,11.625,,9/29/1982,11/15/2002,,5/15-11/15,,2753,,,,2753
,,Bond 35,,7.875,,11/15/1977,11/15/2007,11/15/2002,5/15-11/15,,1495,,,,1495
,,Bond 36,,10.75,,1/4/1983,2/15/2003,,2/15-8/15,,3007,,,,3007
,,Bond 37,,10.75,,4/4/1983,5/15/2003,,5/15-11/15,,3249,,,,3249
,,Bond 38,,8.375,,8/15/1978,8/15/2008,8/15/2003,2/15-8/15,,2103,,,,2103
,,Bond 39,,11.125,,7/5/1983,8/15/2003,,2/15-8/15,,3501,,,,3501
,,Bond 40,,11.875,,10/5/1983,11/15/2003,,5/15-11/15,,7260,,,,7260
,,Bond 41,,8.75,,11/15/1978,11/15/2008,11/15/2003,5/15-11/15,,5230,,,,5230
,,Bond 42,,12.375,,4/5/1984,5/15/2004,,5/15-11/15,,3755,,,,3755
,,Bond 43,,13.75,,7/10/1984,8/15/2004,,2/15-8/15,,4000,,,,4000
,,Bond 44,,9.125,,5/15/1979,5/15/2009,5/15/2004,5/15-11/15,,4606,,,,4606
,,Bond 45,,10.375,,11/15/1979,11/15/2009,11/15/2004,5/15-11/15,,4201,,,,4201
,,Bond 46,,11.625,,10/30/1984,11/15/2004,,5/15-11/15,,8302,,,,8302
,,Bond 47,,11.75,,2/15/1980,2/15/2010,2/15/2005,2/15-8/15,,2647,153,,,2494
,,Bond 48,,12,,4/2/1985,5/15/2005,,5/15-11/15,,4261,,,,4261
,,Bond 49,,10,,5/15/1980,5/15/2010,5/15/2005,5/15-11/15,,2987,,,,2987
,,Bond 50,,10.75,,7/2/1985,8/15/2005,,2/15-8/15,,9270,,,,9270
,,Bond 51,,12.75,,11/17/1980,11/15/2010,11/15/2005,5/15-11/15,,4736,,,,4736
,,Bond 52,,13.875,,5/15/1981,5/15/2011,5/15/2006,5/15-11/15,,4609,,,,4609
,,Bond 53,,14,,11/16/1981,11/15/2011,11/14/2006,5/15-11/15,,4901,,,,4901
,,Bond 54,,10.375,,11/15/1982,11/15/2012,11/15/2007,5/15-11/15,,11032,,,,11032
,,Bond 55,,12,,8/15/1983,8/15/2013,8/15/2008,2/15-8/15,,14755,,,,14755
,,Bond 56,,13.25,,5/15/1984,5/15/2014,5/15/2009,5/15-11/15,,5007,,,,5007
,,Bond 57,,12.5,,8/15/1984,8/15/2014,8/15/2009,2/15-8/15,,5128,,,,5128
,,Bond 58,,11.75,,11/15/1984,11/15/2014,11/15/2009,5/15-11/15,,6006,,,,6006
,,Bond 59,,11.25,,2/15/1985,2/15/2015,,2/15-8/15,,12668,,,,12668
,,Bond 60,,10.625,,8/15/1985,8/15/2015,,2/15-8/15,,7150,,,,7150
,,Bond 61,,9.875,,11/15/1985,11/15/2015,,5/15-11/15,,6900,,,,6900
,,,,,,,,,,,,,,,
,Tips:,,,,7  d,,,,,,,,,,
,CUSIP:,,Series:,Interest Rate:,,,,,,,,,,,
,,None,,1,,1/1/1950,1/31/1986,,,1,,,,,1
,,,,,,,,,,,,,,,
